2012-12-15: Total users: 6506, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(75)
2012-12-16: Total users: 6508, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(75)
2012-12-17: Total users: 6510, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(75)
2012-12-18: Total users: 6516, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(75)
2012-12-19: Total users: 6517, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(75)
2012-12-20: Total users: 6524, Non-zero FROM: 494, Geocoded(active): 370(199), Cities(active): 107(75)
2012-12-21: Total users: 6536, Non-zero FROM: 494, Geocoded(active): 370(199), Cities(active): 107(75)
2012-12-22: Total users: 6544, Non-zero FROM: 494, Geocoded(active): 370(199), Cities(active): 107(75)
2012-12-23: Total users: 6545, Non-zero FROM: 494, Geocoded(active): 370(199), Cities(active): 107(75)
2012-12-24: Total users: 6548, Non-zero FROM: 494, Geocoded(active): 370(199), Cities(active): 107(75)
2012-12-25: Total users: 6549, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(76)
2012-12-26: Total users: 6553, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(76)
2012-12-27: Total users: 6556, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(76)
2012-12-28: Total users: 6558, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(76)
2012-12-29: Total users: 6559, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(76)
2012-12-30: Total users: 6561, Non-zero FROM: 494, Geocoded(active): 370(200), Cities(active): 107(76)
2012-12-31: Total users: 6561, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-01: Total users: 6561, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-02: Total users: 6562, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-03: Total users: 6567, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-04: Total users: 6568, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-05: Total users: 6569, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-06: Total users: 6570, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-07: Total users: 6571, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-08: Total users: 6573, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-09: Total users: 6576, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-10: Total users: 6585, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-11: Total users: 6592, Non-zero FROM: 496, Geocoded(active): 372(202), Cities(active): 107(76)
2013-01-12: Total users: 6594, Non-zero FROM: 497, Geocoded(active): 373(203), Cities(active): 107(76)
2013-01-13: Total users: 5240, Non-zero FROM: 483, Geocoded(active): 363(203), Cities(active): 106(76)
2013-01-14: Total users: 5243, Non-zero FROM: 484, Geocoded(active): 364(204), Cities(active): 107(77)
2013-01-15: Total users: 5252, Non-zero FROM: 485, Geocoded(active): 365(205), Cities(active): 108(78)
2013-01-16: Total users: 5263, Non-zero FROM: 485, Geocoded(active): 365(205), Cities(active): 108(78)
2013-01-17: Total users: 5269, Non-zero FROM: 485, Geocoded(active): 365(205), Cities(active): 108(78)
2013-01-18: Total users: 5276, Non-zero FROM: 485, Geocoded(active): 365(205), Cities(active): 108(78)
2013-01-19: Total users: 5282, Non-zero FROM: 485, Geocoded(active): 365(205), Cities(active): 108(78)
2013-01-20: Total users: 5287, Non-zero FROM: 485, Geocoded(active): 365(205), Cities(active): 108(78)
2013-01-21: Total users: 5291, Non-zero FROM: 485, Geocoded(active): 365(205), Cities(active): 108(78)
2013-01-22: Total users: 5295, Non-zero FROM: 487, Geocoded(active): 367(206), Cities(active): 109(78)
2013-01-23: Total users: 5297, Non-zero FROM: 487, Geocoded(active): 367(206), Cities(active): 109(78)
2013-01-24: Total users: 5301, Non-zero FROM: 487, Geocoded(active): 367(206), Cities(active): 109(78)
2013-01-25: Total users: 5309, Non-zero FROM: 487, Geocoded(active): 367(207), Cities(active): 109(78)
2013-01-26: Total users: 5309, Non-zero FROM: 487, Geocoded(active): 367(207), Cities(active): 109(78)
2013-01-27: Total users: 5313, Non-zero FROM: 487, Geocoded(active): 367(207), Cities(active): 109(78)
2013-01-28: Total users: 5316, Non-zero FROM: 487, Geocoded(active): 367(207), Cities(active): 110(79)
2013-01-29: Total users: 5327, Non-zero FROM: 488, Geocoded(active): 368(208), Cities(active): 110(80)
2013-01-30: Total users: 5331, Non-zero FROM: 488, Geocoded(active): 368(208), Cities(active): 110(80)
2013-01-31: Total users: 5335, Non-zero FROM: 488, Geocoded(active): 368(207), Cities(active): 110(80)
2013-02-01: Total users: 5346, Non-zero FROM: 490, Geocoded(active): 370(209), Cities(active): 111(81)
2013-02-02: Total users: 5356, Non-zero FROM: 490, Geocoded(active): 370(209), Cities(active): 111(81)
2013-02-03: Total users: 5361, Non-zero FROM: 490, Geocoded(active): 370(209), Cities(active): 111(81)
2013-02-04: Total users: 5365, Non-zero FROM: 490, Geocoded(active): 370(209), Cities(active): 111(81)
2013-02-05: Total users: 5372, Non-zero FROM: 491, Geocoded(active): 371(210), Cities(active): 112(82)
2013-02-06: Total users: 5378, Non-zero FROM: 491, Geocoded(active): 371(210), Cities(active): 112(82)
2013-02-07: Total users: 5384, Non-zero FROM: 491, Geocoded(active): 371(210), Cities(active): 112(82)
2013-02-08: Total users: 5393, Non-zero FROM: 492, Geocoded(active): 372(211), Cities(active): 112(82)
2013-02-09: Total users: 5400, Non-zero FROM: 492, Geocoded(active): 372(212), Cities(active): 112(82)
2013-02-10: Total users: 5402, Non-zero FROM: 492, Geocoded(active): 372(212), Cities(active): 112(82)
2013-02-11: Total users: 5410, Non-zero FROM: 493, Geocoded(active): 373(213), Cities(active): 112(82)
2013-02-12: Total users: 5415, Non-zero FROM: 493, Geocoded(active): 373(213), Cities(active): 112(82)
2013-02-13: Total users: 5420, Non-zero FROM: 493, Geocoded(active): 373(213), Cities(active): 112(82)
2013-02-14: Total users: 5427, Non-zero FROM: 495, Geocoded(active): 374(215), Cities(active): 112(83)
2013-02-15: Total users: 5433, Non-zero FROM: 495, Geocoded(active): 374(214), Cities(active): 111(81)
2013-02-16: Total users: 5436, Non-zero FROM: 495, Geocoded(active): 374(214), Cities(active): 111(81)
2013-02-17: Total users: 5439, Non-zero FROM: 495, Geocoded(active): 374(214), Cities(active): 111(81)
2013-02-18: Total users: 5446, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-19: Total users: 5453, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-20: Total users: 5461, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-21: Total users: 5471, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-22: Total users: 5473, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-23: Total users: 5475, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-24: Total users: 5477, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-25: Total users: 5483, Non-zero FROM: 496, Geocoded(active): 376(216), Cities(active): 112(82)
2013-02-26: Total users: 5490, Non-zero FROM: 497, Geocoded(active): 377(216), Cities(active): 112(82)
2013-02-27: Total users: 5495, Non-zero FROM: 499, Geocoded(active): 378(217), Cities(active): 112(82)
2013-02-28: Total users: 5500, Non-zero FROM: 500, Geocoded(active): 379(218), Cities(active): 112(82)
2013-03-01: Total users: 5506, Non-zero FROM: 500, Geocoded(active): 379(218), Cities(active): 112(82)
2013-03-02: Total users: 5511, Non-zero FROM: 500, Geocoded(active): 379(218), Cities(active): 112(82)
2013-03-03: Total users: 5514, Non-zero FROM: 501, Geocoded(active): 379(218), Cities(active): 112(82)
